2013-06-20,1.0000,1.0000,,封闭期,封闭期,
2020-04-22,1.0072,1.0072,0.72%,暂停申购,开放赎回,
2020-04-23,1.0073,1.0073,0.01%,暂停申购,开放赎回,
2020-04-24,1.0073,1.0073,0.00%,暂停申购,开放赎回,
2020-04-27,1.0074,1.0074,0.01%,暂停申购,开放赎回,
2020-04-28,1.0075,1.0075,0.01%,暂停申购,开放赎回,
2020-04-29,1.0075,1.0075,0.00%,暂停申购,开放赎回,
2020-04-30,1.0075,1.0075,0.00%,暂停申购,开放赎回,
2020-05-06,1.0078,1.0078,0.03%,暂停申购,开放赎回,
2020-05-07,1.0077,1.0077,-0.01%,暂停申购,开放赎回,
2020-05-08,1.0077,1.0077,0.00%,暂停申购,开放赎回,
2020-05-11,1.0076,1.0076,-0.01%,暂停申购,开放赎回,
2020-05-12,1.0076,1.0076,0.00%,暂停申购,开放赎回,
2020-05-13,1.0077,1.0077,0.01%,暂停申购,开放赎回,
2020-05-14,1.0077,1.0077,0.00%,暂停申购,开放赎回,
2020-05-15,1.0083,1.0083,0.06%,暂停申购,开放赎回,
2020-05-18,1.0078,1.0078,-0.05%,暂停申购,开放赎回,
2020-05-19,1.0075,1.0075,-0.03%,暂停申购,开放赎回,
2020-05-20,1.0082,1.0082,0.07%,暂停申购,开放赎回,
2020-05-21,1.0081,1.0081,-0.01%,暂停申购,开放赎回,
2020-05-22,1.0097,1.0097,0.16%,暂停申购,开放赎回,
2020-05-25,1.0089,1.0089,-0.08%,暂停申购,开放赎回,
2020-05-26,1.0075,1.0075,-0.14%,暂停申购,开放赎回,
2020-05-27,1.0067,1.0067,-0.08%,暂停申购,开放赎回,
2020-05-28,1.0067,1.0067,0.00%,暂停申购,开放赎回,
2020-05-29,1.0070,1.0070,0.03%,暂停申购,开放赎回,
2020-06-01,1.0066,1.0066,-0.04%,暂停申购,开放赎回,
2020-06-02,1.0044,1.0044,-0.22%,暂停申购,开放赎回,
2020-06-03,1.0027,1.0027,-0.17%,暂停申购,开放赎回,
2020-06-04,1.0014,1.0014,-0.13%,暂停申购,开放赎回,
2020-06-05,0.9997,0.9997,-0.17%,暂停申购,开放赎回,
2020-06-08,1.0004,1.0004,0.07%,暂停申购,开放赎回,
2020-06-09,1.0012,1.0012,0.08%,暂停申购,开放赎回,
2020-06-10,1.0014,1.0014,0.02%,暂停申购,开放赎回,
2020-06-11,1.0024,1.0024,0.10%,暂停申购,开放赎回,
2020-06-12,1.0035,1.0035,0.11%,暂停申购,开放赎回,
2020-06-15,1.0041,1.0041,0.06%,暂停申购,开放赎回,
2020-06-16,1.0031,1.0031,-0.10%,暂停申购,开放赎回,
2020-06-17,1.0024,1.0024,-0.07%,暂停申购,开放赎回,
2020-06-18,1.0030,1.0030,0.06%,暂停申购,开放赎回,
2020-06-19,1.0025,1.0025,-0.05%,暂停申购,开放赎回,
2020-06-22,0.9992,1.0016,-0.09%,暂停申购,开放赎回,每份派现金0.0024元
2020-06-23,0.9978,1.0002,-0.14%,暂停申购,开放赎回,
2020-06-24,0.9992,1.0016,0.14%,暂停申购,开放赎回,
2020-06-29,0.9998,1.0022,0.06%,暂停申购,开放赎回,
2020-06-30,1.0009,1.0033,0.11%,暂停申购,开放赎回,
2020-07-01,1.0009,1.0033,0.00%,暂停申购,开放赎回,
2020-07-02,1.0013,1.0037,0.04%,暂停申购,开放赎回,
2020-07-03,1.0002,1.0026,-0.11%,暂停申购,开放赎回,
2020-07-06,0.9966,0.9990,-0.36%,暂停申购,开放赎回,
2020-07-07,0.9946,0.9970,-0.20%,暂停申购,开放赎回,
2020-07-08,0.9927,0.9951,-0.19%,暂停申购,开放赎回,
2020-07-09,0.9886,0.9910,-0.41%,暂停申购,开放赎回,
2020-07-10,0.9885,0.9909,-0.01%,暂停申购,开放赎回,
2020-07-13,0.9857,0.9881,-0.28%,暂停申购,开放赎回,
2020-07-14,0.9856,0.9880,-0.01%,暂停申购,开放赎回,
2020-07-15,0.9872,0.9896,0.16%,暂停申购,开放赎回,
2020-07-16,0.9885,0.9909,0.13%,暂停申购,开放赎回,
2020-07-17,0.9892,0.9916,0.07%,暂停申购,开放赎回,
2020-07-20,0.9901,0.9925,0.09%,暂停申购,开放赎回,
2020-07-21,0.9934,0.9958,0.33%,暂停申购,开放赎回,
2020-07-22,0.9951,0.9975,0.17%,暂停申购,开放赎回,
2020-07-23,0.9953,0.9977,0.02%,暂停申购,开放赎回,
2020-07-24,0.9971,0.9995,0.18%,暂停申购,开放赎回,
2020-07-27,0.9978,1.0002,0.07%,暂停申购,开放赎回,
2020-07-28,0.9967,0.9991,-0.11%,暂停申购,开放赎回,
2020-07-29,0.9956,0.9980,-0.11%,暂停申购,开放赎回,
2020-07-30,0.9948,0.9972,-0.08%,暂停申购,开放赎回,
2020-07-31,0.9936,0.9960,-0.12%,暂停申购,开放赎回,
2020-08-03,0.9935,0.9959,-0.01%,暂停申购,开放赎回,
2020-08-04,0.9941,0.9965,0.06%,暂停申购,开放赎回,
2020-08-05,0.9943,0.9967,0.02%,暂停申购,开放赎回,
2020-08-06,0.9943,0.9967,0.00%,暂停申购,开放赎回,
2020-08-07,0.9943,0.9967,0.00%,暂停申购,开放赎回,
2020-08-10,0.9957,0.9981,0.14%,暂停申购,开放赎回,
2020-08-11,0.9958,0.9982,0.01%,暂停申购,开放赎回,
2020-08-12,0.9956,0.9980,-0.02%,暂停申购,开放赎回,
2020-08-13,0.9956,0.9980,0.00%,暂停申购,开放赎回,
2020-08-14,0.9937,0.9961,-0.19%,暂停申购,开放赎回,
2020-08-17,0.9957,0.9981,0.20%,暂停申购,开放赎回,
2020-08-18,0.9985,1.0009,0.28%,暂停申购,开放赎回,
2020-08-19,0.9980,1.0004,-0.05%,暂停申购,开放赎回,
2020-08-20,0.9977,1.0001,-0.03%,暂停申购,开放赎回,
2020-08-21,0.9979,1.0003,0.02%,暂停申购,开放赎回,
2020-08-24,0.9977,1.0001,-0.02%,暂停申购,开放赎回,
2020-08-25,0.9970,0.9994,-0.07%,暂停申购,开放赎回,
2020-08-26,0.9969,0.9993,-0.01%,暂停申购,开放赎回,
2020-08-27,0.9968,0.9992,-0.01%,暂停申购,开放赎回,
2020-08-28,0.9969,0.9993,0.01%,暂停申购,开放赎回,
2020-08-31,0.9972,0.9996,0.03%,暂停申购,开放赎回,
2020-09-01,0.9971,0.9995,-0.01%,暂停申购,开放赎回,
2020-09-02,0.9968,0.9992,-0.03%,暂停申购,开放赎回,
2020-09-03,0.9969,0.9993,0.01%,暂停申购,开放赎回,
2020-09-04,0.9969,0.9993,0.00%,暂停申购,开放赎回,
2020-09-07,0.9963,0.9987,-0.06%,暂停申购,开放赎回,
2020-09-08,0.9966,0.9990,0.03%,暂停申购,开放赎回,
2020-09-09,0.9970,0.9994,0.04%,暂停申购,开放赎回,
2020-09-10,0.9974,0.9998,0.04%,暂停申购,开放赎回,
2020-09-11,0.9970,0.9994,-0.04%,暂停申购,开放赎回,
2020-09-14,0.9971,0.9995,0.01%,暂停申购,开放赎回,
2020-09-15,0.9976,1.0000,0.05%,暂停申购,开放赎回,
2020-09-16,0.9978,1.0002,0.02%,暂停申购,开放赎回,
2020-09-17,0.9977,1.0001,-0.01%,暂停申购,开放赎回,
2020-09-18,0.9981,1.0005,0.04%,暂停申购,开放赎回,
2020-09-21,0.9985,1.0009,0.04%,暂停申购,开放赎回,
2020-09-22,0.9984,1.0008,-0.01%,暂停申购,开放赎回,
2020-09-23,0.9983,1.0007,-0.01%,暂停申购,开放赎回,
2020-09-24,0.9982,1.0006,-0.01%,暂停申购,开放赎回,
2020-09-25,0.9980,1.0004,-0.02%,暂停申购,开放赎回,
2020-09-28,0.9982,1.0006,0.02%,暂停申购,开放赎回,
2020-09-29,0.9979,1.0003,-0.03%,暂停申购,开放赎回,
2020-09-30,0.9984,1.0008,0.05%,暂停申购,开放赎回,
2020-10-09,0.9982,1.0006,-0.02%,暂停申购,开放赎回,
2020-10-12,0.9985,1.0009,0.03%,暂停申购,开放赎回,
2020-10-13,0.9986,1.0010,0.01%,暂停申购,开放赎回,
2020-10-14,0.9986,1.0010,0.00%,暂停申购,开放赎回,
2020-10-15,0.9987,1.0011,0.01%,暂停申购,开放赎回,
2020-10-16,0.9990,1.0014,0.03%,暂停申购,开放赎回,
2020-10-19,0.9995,1.0019,0.05%,暂停申购,开放赎回,
2020-10-20,0.9996,1.0020,0.01%,暂停申购,开放赎回,
2020-10-21,1.0000,1.0024,0.04%,暂停申购,开放赎回,
2020-10-22,1.0005,1.0029,0.05%,暂停申购,开放赎回,
2020-10-23,1.0005,1.0029,0.00%,暂停申购,开放赎回,
2020-10-26,1.0004,1.0028,-0.01%,暂停申购,开放赎回,
2020-10-27,1.0006,1.0030,0.02%,暂停申购,开放赎回,
2020-10-28,1.0005,1.0029,-0.01%,暂停申购,开放赎回,
2020-10-29,1.0006,1.0030,0.01%,暂停申购,开放赎回,
2020-10-30,1.0006,1.0030,0.00%,暂停申购,开放赎回,
2020-11-02,1.0011,1.0035,0.05%,暂停申购,开放赎回,
2020-11-03,1.0015,1.0039,0.04%,暂停申购,开放赎回,
2020-11-04,1.0018,1.0042,0.03%,暂停申购,开放赎回,
2020-11-05,1.0016,1.0040,-0.02%,暂停申购,开放赎回,
2020-11-06,1.0013,1.0037,-0.03%,暂停申购,开放赎回,
2020-11-09,1.0013,1.0037,0.00%,暂停申购,开放赎回,
2020-11-10,1.0014,1.0038,0.01%,暂停申购,开放赎回,
2020-11-11,1.0013,1.0037,-0.01%,暂停申购,开放赎回,
2020-11-12,1.0011,1.0035,-0.02%,暂停申购,开放赎回,
2020-11-13,1.0005,1.0029,-0.06%,暂停申购,开放赎回,
2020-11-16,1.0007,1.0031,0.02%,暂停申购,开放赎回,
2020-11-17,1.0007,1.0031,0.00%,暂停申购,开放赎回,
2020-11-18,1.0002,1.0026,-0.05%,暂停申购,开放赎回,
2020-11-19,0.9995,1.0019,-0.07%,暂停申购,开放赎回,
2020-11-20,0.9995,1.0019,0.00%,暂停申购,开放赎回,
2020-11-23,1.0005,1.0029,0.10%,暂停申购,开放赎回,
2020-11-24,1.0005,1.0029,0.00%,暂停申购,开放赎回,
2020-11-25,1.0008,1.0032,0.03%,暂停申购,开放赎回,
2020-11-26,1.0008,1.0032,0.00%,暂停申购,开放赎回,
2020-11-27,1.0010,1.0034,0.02%,暂停申购,开放赎回,
2020-11-30,1.0021,1.0045,0.11%,暂停申购,开放赎回,
2020-12-01,1.0021,1.0045,0.00%,暂停申购,开放赎回,
2020-12-02,1.0021,1.0045,0.00%,暂停申购,开放赎回,
2020-12-03,1.0020,1.0044,-0.01%,暂停申购,开放赎回,
2020-12-04,1.0023,1.0047,0.03%,暂停申购,开放赎回,
2020-12-07,1.0026,1.0050,0.03%,暂停申购,开放赎回,
2020-12-08,1.0031,1.0055,0.05%,暂停申购,开放赎回,
2020-12-09,1.0033,1.0057,0.02%,暂停申购,开放赎回,
2020-12-10,1.0036,1.0060,0.03%,暂停申购,开放赎回,
2020-12-11,1.0035,1.0059,-0.01%,暂停申购,开放赎回,
2020-12-14,1.0036,1.0060,0.01%,暂停申购,开放赎回,
2020-12-15,1.0041,1.0065,0.05%,暂停申购,开放赎回,
2020-12-16,1.0048,1.0072,0.07%,暂停申购,开放赎回,
2020-12-17,1.0048,1.0072,0.00%,暂停申购,开放赎回,
2020-12-18,1.0054,1.0078,0.06%,暂停申购,开放赎回,
2020-12-21,1.0072,1.0096,0.18%,暂停申购,开放赎回,
2020-12-22,1.0087,1.0111,0.15%,暂停申购,开放赎回,
2020-12-23,1.0089,1.0113,0.02%,暂停申购,开放赎回,
2020-12-24,1.0087,1.0111,-0.02%,暂停申购,开放赎回,
2020-12-25,1.0093,1.0117,0.06%,暂停申购,开放赎回,
2020-12-28,1.0113,1.0137,0.20%,暂停申购,开放赎回,
2020-12-29,1.0121,1.0145,0.08%,暂停申购,开放赎回,
2020-12-30,1.0143,1.0167,0.22%,暂停申购,开放赎回,
2020-12-31,1.0133,1.0157,-0.10%,暂停申购,开放赎回,
