,id,No,date,jingzhi,leiji,zhangfu,statusbuy,statussell,remark,day5,day10,day15,day20,day25
0,0,003567,2017-04-10,1.0045,1.0045,-0.67%,开放申购,开放赎回,,,,,,
1,1,003567,2017-04-07,1.0113,1.0113,-0.30%,开放申购,开放赎回,,,,,,
2,2,003567,2017-04-06,1.0143,1.0143,0.26%,开放申购,开放赎回,,,,,,
3,3,003567,2017-04-05,1.0117,1.0117,0.72%,开放申购,开放赎回,,,,,,
4,4,003567,2017-03-31,1.0045,1.0045,0.34%,开放申购,开放赎回,,,,,,
5,5,003567,2017-03-30,1.0011,1.0011,-0.43%,开放申购,开放赎回,,1.0045,,,,
6,6,003567,2017-03-29,1.0054,1.0054,-0.12%,开放申购,开放赎回,,1.0113,,,,
7,7,003567,2017-03-28,1.0066,1.0066,0.00%,开放申购,开放赎回,,1.0143,,,,
8,8,003567,2017-03-27,1.0066,1.0066,-0.45%,开放申购,开放赎回,,1.0117,,,,
9,9,003567,2017-03-24,1.0112,1.0112,0.16%,开放申购,开放赎回,,1.0045,,,,
10,10,003567,2017-03-23,1.0096,1.0096,0.02%,开放申购,开放赎回,,1.0011,1.0045,,,
11,11,003567,2017-03-22,1.0094,1.0094,-0.21%,开放申购,开放赎回,,1.0054,1.0113,,,
12,12,003567,2017-03-21,1.0115,1.0115,0.59%,开放申购,开放赎回,,1.0066,1.0143,,,
13,13,003567,2017-03-20,1.0056,1.0056,0.11%,开放申购,开放赎回,,1.0066,1.0117,,,
14,14,003567,2017-03-17,1.0045,1.0045,-0.04%,开放申购,开放赎回,,1.0112,1.0045,,,
15,15,003567,2017-03-16,1.0049,1.0049,-0.20%,开放申购,开放赎回,,1.0096,1.0011,1.0045,,
16,16,003567,2017-03-15,1.0069,1.0069,0.07%,开放申购,开放赎回,,1.0094,1.0054,1.0113,,
17,17,003567,2017-03-14,1.0062,1.0062,-0.38%,开放申购,开放赎回,,1.0115,1.0066,1.0143,,
18,18,003567,2017-03-13,1.01,1.01,0.14%,开放申购,开放赎回,,1.0056,1.0066,1.0117,,
19,19,003567,2017-03-10,1.0086,1.0086,0.12%,开放申购,开放赎回,,1.0045,1.0112,1.0045,,
20,20,003567,2017-03-09,1.0074,1.0074,,封闭期,封闭期,,1.0049,1.0096,1.0011,1.0045,
21,21,003567,2017-03-03,1.0082,1.0082,,封闭期,封闭期,,1.0069,1.0094,1.0054,1.0113,
22,22,003567,2017-02-24,1.0079,1.0079,,封闭期,封闭期,,1.0062,1.0115,1.0066,1.0143,
23,23,003567,2017-02-17,0.9983,0.9983,,封闭期,封闭期,,1.01,1.0056,1.0066,1.0117,
24,24,003567,2017-02-10,0.9999,0.9999,,封闭期,封闭期,,1.0086,1.0045,1.0112,1.0045,
25,25,003567,2017-02-04,1.0,1.0,,封闭期,封闭期,,1.0074,1.0049,1.0096,1.0011,1.0045
26,26,003567,2017-06-08,0.9857,0.9857,0.36%,开放申购,开放赎回,,1.0082,1.0069,1.0094,1.0054,1.0113
27,27,003567,2017-06-07,0.9822,0.9822,0.99%,开放申购,开放赎回,,1.0079,1.0062,1.0115,1.0066,1.0143
28,28,003567,2017-06-06,0.9726,0.9726,0.45%,开放申购,开放赎回,,0.9983,1.01,1.0056,1.0066,1.0117
29,29,003567,2017-06-05,0.9682,0.9682,0.22%,开放申购,开放赎回,,0.9999,1.0086,1.0045,1.0112,1.0045
30,30,003567,2017-06-02,0.9661,0.9661,-0.09%,开放申购,开放赎回,,1.0,1.0074,1.0049,1.0096,1.0011
31,31,003567,2017-06-01,0.967,0.967,-0.58%,开放申购,开放赎回,,0.9857,1.0082,1.0069,1.0094,1.0054
