No,name,type,startDate,endDate
000003,中海可转债债券A,债券型,2013-03-20,2019-12-25
000004,中海可转债债券C,债券型,2013-03-20,2019-12-25
000005,嘉实增强信用定期债券,定开债券,2013-03-08,2019-12-25
000006,西部利得量化成长混合,混合型,2019-03-19,2019-12-25
000008,嘉实中证500ETF联接A,联接基金,2013-03-22,2019-12-25
000011,华夏大盘精选混合,混合型,2004-08-11,2019-12-25
000014,华夏聚利债券,债券型,2013-03-19,2019-12-25
000015,华夏纯债债券A,债券型,2013-03-08,2019-12-25
000016,华夏纯债债券C,债券型,2013-03-08,2019-12-25
000017,财通可持续混合,混合型,2013-03-27,2019-12-25
000020,景顺长城品质投资混合,混合型,2013-03-19,2019-12-25
000021,华夏优势增长混合,混合型,2006-11-24,2019-12-25
000024,大摩双利增强债券A,债券型,2013-03-26,2019-12-25
000025,大摩双利增强债券C,债券型,2013-03-26,2019-12-25
000028,华富安鑫债券,债券型,2013-04-24,2019-12-25
000029,富国宏观策略灵活配置混合,混合型,2013-04-12,2019-12-25
000030,长城核心优选混合,混合型,2013-04-18,2019-12-25
000031,华夏复兴混合,混合型,2007-09-10,2019-12-25
000032,易方达信用债债券A,债券型,2013-04-24,2019-12-25
000033,易方达信用债债券C,债券型,2013-04-24,2019-12-25
000039,农银高增长混合,混合型,2013-03-26,2019-12-25
000041,华夏全球股票(QDII),QDII,2007-10-09,2019-12-24
000042,中证财通可持续发展100指数A,股票指数,2013-03-22,2019-12-25
000043,嘉实美国成长股票人民币,QDII,2013-06-14,2019-12-24
000044,嘉实美国成长股票美元现汇,QDII,2013-06-14,2019-12-24
000045,工银产业债债券A,债券型,2013-03-29,2019-12-25
000046,工银产业债债券B,债券型,2013-03-29,2019-12-25
000047,华夏双债债券A,债券型,2013-03-14,2019-12-25
000048,华夏双债债券C,债券型,2013-03-14,2019-12-25
000049,中银标普全球资源等权重指数,QDII-指数,2013-03-19,2019-12-23
000051,华夏沪深300ETF联接A,联接基金,2009-07-10,2019-12-25
000053,鹏华永诚一年定开债券,定开债券,2013-05-03,2019-12-25
000054,鹏华双债增利债券,债券型,2013-03-13,2019-12-25
000055,广发纳斯达克100美元现汇A,QDII-指数,2015-01-14,2019-12-24
000056,建信消费升级混合,混合型,2013-06-14,2019-12-25
000057,中银消费主题混合,混合型,2013-04-25,2019-12-25
000058,国联安安泰灵活配置混合,混合型,2013-04-23,2019-12-25
000059,国联安中证医药100A,股票指数,2013-08-21,2019-12-25
000061,华夏盛世混合,混合型,2009-12-11,2019-12-25
000063,长盛电子信息主题灵活配置混合,混合型,2013-05-10,2019-12-25
000064,大摩18个月定开债,定开债券,2013-06-25,2019-12-20
000065,国富焦点驱动混合,混合型,2013-05-07,2019-12-25
000066,诺安鸿鑫混合,混合型,2013-05-03,2019-12-25
000067,民生加银转债优选A,债券型,2013-04-18,2019-12-25
000068,民生加银转债优选C,债券型,2013-04-18,2019-12-25
000069,国投瑞银中高等级债券A,债券型,2013-05-14,2019-12-25
000070,国投瑞银中高等级债券C,债券型,2013-05-14,2019-12-25
000071,华夏恒生ETF联接A,QDII-指数,2012-08-21,2019-12-24
000072,华安稳健回报混合,混合型,2013-05-14,2019-12-25
000073,上投摩根成长动力混合,混合型,2013-05-15,2019-12-25
000074,工银信用纯债一年定开债A,定开债券,2013-05-22,2019-12-20
000075,华夏恒生ETF联接现汇,QDII-指数,2012-08-21,2019-12-24
000077,工银信用纯债一年定开债C,定开债券,2013-05-22,2019-12-20
000078,工银信用纯债两年定开债A,定开债券,2013-06-24,2019-12-20
000079,工银信用纯债两年定开债C,定开债券,2013-06-24,2019-12-20
000080,天治可转债增强债券A,债券型,2013-06-04,2019-12-25
000081,天治可转债增强债券C,债券型,2013-06-04,2019-12-25
000082,嘉实研究阿尔法股票,股票型,2013-05-28,2019-12-25
000083,汇添富消费行业混合,混合型,2013-05-03,2019-12-25
000084,博时安盈债券A,债券型,2013-04-23,2019-12-25
000085,博时安盈债券C,债券型,2013-04-23,2019-12-25
000086,南方稳利1年定开债A,定开债券,2013-07-23,2019-12-25
000087,嘉实中证金边国债ETF联接A,联接基金,2013-05-10,2019-12-25
000088,嘉实中证金边国债ETF联接C,联接基金,2013-05-10,2019-12-25
000091,信诚新双盈分级债券,债券型,2013-05-09,2019-12-25
000092,信诚新双盈分级债券A,固定收益,2013-05-09,2019-12-25
000093,信诚新双盈分级债券B,分级杠杆,2013-05-09,2019-12-25
000103,国泰中国企业境外高收益债,QDII,2013-04-26,2019-12-24
000104,华宸未来稳健添利债券A,债券型,2013-08-20,2019-12-25
000105,建信安心回报债券A,定开债券,2013-05-14,2019-12-25
000106,建信安心回报债券C,定开债券,2013-05-14,2019-12-25
000107,富国稳健增强债券A/B,债券型,2013-05-21,2019-12-25
000109,富国稳健增强债券C,债券型,2013-05-21,2019-12-25
000110,金鹰元安混合A,混合型,2013-05-20,2019-12-25
000111,易方达纯债1年定开债A,定开债券,2013-07-30,2019-12-25
000112,易方达纯债1年定开债C,定开债券,2013-07-30,2019-12-25
000113,嘉实如意宝定期债券A/B,定开债券,2013-06-04,2019-12-25
000115,嘉实如意宝定期债券C,定开债券,2013-06-04,2019-12-25
000116,嘉实丰益纯债定期债券,定开债券,2013-05-21,2019-12-25
000117,广发轮动配置混合,混合型,2013-05-28,2019-12-25
000118,广发聚鑫债券A,债券型,2013-06-05,2019-12-25
000119,广发聚鑫债券C,债券型,2013-06-05,2019-12-25
000120,中银美丽中国混合,混合型,2013-06-07,2019-12-25
000121,华夏永福混合A,混合型,2013-08-13,2019-12-25
000122,汇添富实业债债券A,债券型,2013-06-14,2019-12-25
000123,汇添富实业债债券C,债券型,2013-06-14,2019-12-25
000124,华宝服务优选混合,混合型,2013-06-27,2019-12-25
000126,招商安润混合,混合型,2013-04-19,2019-12-25
000127,农银行业领先混合,混合型,2013-06-25,2019-12-25
000128,大成景安短融债券A,债券型,2013-05-24,2019-12-25
000129,大成景安短融债券B,债券型,2013-05-24,2019-12-25
000130,大成景兴信用债债券A,债券型,2013-06-04,2019-12-25
000131,大成景兴信用债债券C,债券型,2013-06-04,2019-12-25
000136,民生加银策略精选混合,混合型,2013-06-07,2019-12-25
000137,民生加银岁岁增利债券A,定开债券,2013-08-01,2019-12-25
000138,民生加银岁岁增利债券C,定开债券,2013-08-01,2019-12-25
000139,富国国有企业债债券A/B,债券型,2013-09-25,2019-12-25
000141,富国国有企业债债券C,债券型,2013-09-25,2019-12-25
000142,融通增强收益债券A,债券型,2013-05-30,2019-12-25
000143,鹏华双债加利债券,债券型,2013-05-27,2019-12-25
000147,易方达高等级信用债债券A,债券型,2013-08-23,2019-12-25
000148,易方达高等级信用债债券C,债券型,2013-08-23,2019-12-25
000149,华安双债添利债券A,债券型,2013-06-14,2019-12-25
000150,华安双债添利债券C,债券型,2013-06-14,2019-12-25
000152,大成景旭纯债债券A,债券型,2013-07-23,2019-12-25
000153,大成景旭纯债债券C,债券型,2013-07-23,2019-12-25
000165,国投瑞银策略精选混合,混合型,2013-09-27,2019-12-25
000166,中海信息产业精选混合,混合型,2013-07-31,2019-12-25
000167,广发聚优灵活配置混合A,混合型,2013-09-11,2019-12-25
000171,易方达裕丰回报债券,债券型,2013-08-23,2019-12-25
