,no,name,jiancheng,date,单位净值,累计净值,今日,本周,月增幅,近3月,近6月,近1年,近2年,近3年,今年来,成立来,日期,f1,owndefine,fee1,fee2,f2,fee3,canbuy,f3
0,006401,先锋量化优选混合A,XFLHYXHHA,2021-06-28,1.7399,81.3201,1.74,5.24,12.67,24.23,27.25,42.47,7955.49,,24.20,8032.01,2019-05-15,1,42.1603,1.50%,0.15%,1,0.15%,1,
1,000011,华夏大盘精选混合A,HXDPJXHHA,2021-06-28,20.1440,26.9480,-0.39,1.71,-1.77,2.02,4.94,49.50,65.27,83.84,2.56,4001.56,2004-08-11,1,50.6117,1.50%,0.15%,1,0.15%,1,137.49
2,100020,富国天益价值混合A,FGTYJZHHA,2021-06-28,2.9542,6.7205,1.16,2.73,1.20,16.27,15,70.14,150.34,194.17,11.14,2850.51,2004-06-15,1,68.3401,1.50%,0.15%,1,0.15%,1,253.77
3,260104,景顺长城内需增长混合,JSCCNXZZHH,2021-06-28,14.2250,16.1010,0.91,3.27,-3.64,8.89,6.43,67.90,119.65,181.02,2.89,2646.51,2004-06-25,1,67.4056,1.50%,0.15%,1,0.15%,1,215.09
4,163402,兴全趋势投资混合(LOF),XQQSTZHHLOF,2021-06-28,1.0037,11.2282,-0.27,1.08,-1.05,-2.01,2.99,28.88,65.79,93.88,0.28,2474.82,2005-11-03,1,29.7062,1.50%,0.15%,1,0.15%,1,126.93
5,162605,景顺长城鼎益混合(LOF),JSCCDYHHLOF,2021-06-28,3.4160,6.3570,0.92,2.83,-3.58,9.95,7.31,72.26,121.28,178.89,3.88,2458.53,2005-03-16,1,71.1040,1.50%,0.15%,1,0.15%,1,342.55
6,161005,富国天惠成长混合A/B(LOF),FGTHCZHHABLOF,2021-06-28,3.6676,6.7156,0.45,2.86,-0.09,6.90,8.14,38.41,95.04,114.88,5.68,2176.45,2005-11-16,1,38.3279,1.50%,0.15%,1,0.15%,1,149.47
7,100022,富国天瑞强势混合,FGTRQSHH,2021-06-28,0.9881,6.0063,1.83,4.22,4.79,11.39,12.85,55.54,141.12,134.08,9.42,2087.52,2005-04-05,1,54.5412,1.50%,0.15%,1,0.15%,1,172.91
8,519008,汇添富优势精选混合,HTFYSJXHH,2021-06-28,4.5886,9.2098,1,3.02,0.18,10.56,12.19,37.93,88.77,92.35,8.04,2057.15,2005-08-25,1,37.4374,1.50%,0.15%,1,0.15%,1,139.02
9,260101,景顺长城优选混合,JSCCYXHH,2021-06-28,4.3979,7.0545,1.40,2.33,8.45,21.87,11.64,42.20,111.10,126.44,9.48,1970.71,2003-10-24,1,43.5096,1.50%,0.15%,1,0.15%,1,171.15
10,160505,博时主题行业混合(LOF),BSZTHYHHLOF,2021-06-28,1.9120,6.3260,0.53,1.86,1.70,8.33,6.65,31.91,60.61,77.69,4.16,1939.93,2005-01-06,1,32.6908,1.50%,0.15%,1,0.15%,1,112.01
11,002001,华夏回报混合A,HXHBHHA,2021-06-28,1.9810,5.3550,0.87,2.27,-1.74,9.03,5.50,38.71,66.40,74.69,2.67,1910.20,2003-09-05,1,38.1065,1.50%,0.15%,1,0.15%,1,136.67
12,151001,银河稳健混合,YHWJHH,2021-06-28,2.5685,6.4378,0.24,3.99,4.13,14.31,4.36,28.90,103.35,114.93,2.45,1898.02,2003-08-04,1,28.5697,1.50%,0.15%,1,0.15%,1,126.78
13,020001,国泰金鹰增长混合,GTJYZZHH,2021-06-28,1.5250,5.4498,1.30,2.85,3.56,6.07,17.09,20.67,68.34,49.20,14.27,1829.27,2002-05-08,1,21.0798,1.50%,0.15%,1,0.15%,1,92.97
14,040004,华安宝利配置混合,HABLPZHH,2021-06-28,1.2570,5.0240,0,2.78,-2.18,8.27,5.63,27.11,75.59,122.93,2.70,1779.68,2004-08-24,1,26.0822,1.20%,0.12%,1,0.12%,1,103.72
15,070001,嘉实成长收益混合A,JSCZSYHHA,2021-06-28,2.1280,5.8959,1.53,3.76,4.56,19.58,12.91,41.74,81.04,81.42,10.50,1770.89,2002-11-05,1,41.6268,1.50%,0.15%,1,0.15%,1,79.73
16,288002,华夏收入混合,HXSRHH,2021-06-28,7.8590,9.2590,1.11,3.89,2.66,18.81,16.38,35.95,80.09,85.49,13.67,1695.28,2005-11-17,1,36.1573,1.50%,0.15%,1,0.15%,1,86.85
17,240001,华宝宝康消费品,HBBKXFP,2021-06-28,4.7579,13.2005,1.93,2.70,1.57,12.03,9.86,20.61,103.49,114.15,5.76,1695.18,2003-07-15,1,20.2960,1.20%,0.12%,1,0.12%,1,117.34
18,163801,中银中国混合(LOF),ZYZGHHLOF,2021-06-28,2.0387,5.3779,-0.11,2.55,0.73,13.26,9.16,35.70,102.63,104.89,6.82,1599.16,2005-01-04,1,35.2984,1.50%,0.15%,1,0.15%,1,137.66
19,180012,银华富裕主题混合,YHFYZTHH,2021-06-28,8.3757,9.3287,0.75,2.97,7.28,34.02,28.16,74.84,159.44,211.71,24.42,1598.49,2006-11-16,1,72.9480,1.50%,0.15%,1,0.15%,1,388.81
20,160603,鹏华普天收益混合,PHPTSYHH,2021-06-28,2.7730,5.4160,1.17,3.70,5.88,14.21,8.55,34.56,131.17,138.99,6.73,1576,2003-07-12,1,33.2500,1.40%,0.14%,1,0.14%,1,145.31
21,163302,大摩资源优选混合(LOF),DMZYYXHHLOF,2021-06-28,1.8378,5.1490,0.97,2.69,4.43,12.36,18.04,57.43,126.34,103.21,15.32,1530.49,2005-09-27,1,56.7806,1.50%,0.15%,1,0.15%,1,132.41
22,162202,泰达宏利周期混合,TDHLZQHH,2021-06-28,2.9840,5.0290,1.33,3.45,10.03,30.45,18.11,83.66,148.98,151.47,16.17,1511.50,2003-04-25,1,84.1407,1.50%,0.15%,1,0.15%,1,119.65
23,162203,泰达宏利稳定混合,TDHLWDHH,2021-06-28,3.0249,4.9649,0.04,2.78,-4.22,1.73,9.15,67.77,132.61,178.84,6.04,1491.69,2003-04-25,1,67.0939,1.50%,0.15%,1,0.15%,1,249.70
24,213001,宝盈鸿利收益灵活配置混合A,BYHLSYLHPZHHA,2021-06-28,2.8790,5.8340,2.71,5.30,4.69,20.61,13.88,41.82,201.81,222.89,12.46,1467.47,2002-10-08,1,40.8513,1.50%,0.15%,1,0.15%,1,257.37
25,162703,广发小盘成长混合(LOF)A,GFXPCZHHLOFA,2021-06-28,3.4697,6.0454,1.52,5.30,4.90,17.71,5.90,26.77,168.61,184.04,4.38,1467.18,2005-02-02,1,26.8862,1.50%,0.15%,1,0.15%,1,224.21
26,162201,泰达宏利成长混合,TDHLCZHH,2021-06-28,2.0720,4.4685,2.08,3.57,14.33,48.50,28.05,20.16,83.18,126.96,23.14,1445.73,2003-04-25,1,22.4080,1.50%,0.15%,1,0.15%,1,71.05
27,020003,国泰金龙行业混合,GTJLHYHH,2021-06-28,0.5540,6.3850,1.65,1.65,5.52,12.60,8.79,34.45,104.20,92.19,5.28,1429.17,2003-12-05,1,34.6379,1.20%,0.12%,1,0.12%,1,85.14
28,519688,交银精选混合,JYJXHH,2021-06-28,1.2542,4.1940,0.46,2.50,-0.65,5.55,12.02,43.08,102.20,142.58,8.53,1401.47,2005-09-29,1,43.3614,1.50%,0.15%,1,0.15%,1,196.89
29,160605,鹏华中国50混合,PHZG50HH,2021-06-28,3.1120,5.4820,0.88,1.67,-0.92,13.99,5.35,49.90,114.92,138.83,2.30,1382.61,2004-05-12,1,49.6873,1.50%,0.15%,1,0.15%,1,145.23
30,002011,华夏红利混合,HXHLHH,2021-06-28,3.9140,6.3870,0.51,2.35,2.92,13.94,9.33,45.45,76.31,91.67,6.62,1374.08,2005-06-30,1,45.3398,1.50%,0.15%,1,0.15%,1,64.45
31,162204,泰达宏利行业混合,TDHLHYHH,2021-06-28,8.4509,10.2559,0.92,1.81,1.08,14,12.06,56.04,153.58,176.91,8.45,1368.38,2004-07-09,1,56.0531,1.50%,0.15%,1,0.15%,1,171.29
32,090001,大成价值增长混合,DCJZZZHH,2021-06-28,1.2570,4.7023,2.24,4.55,5.59,18.70,19.12,44.18,98.68,90.02,16.37,1336.29,2002-11-11,1,43.2857,1.50%,0.15%,1,0.15%,1,99.93
33,257020,国联安精选混合,GLAJXHH,2021-06-28,1.1010,4.9110,0.92,3.87,4.86,14.81,15.63,36.74,124.67,96.01,13,1304.91,2005-12-28,1,37.5295,1.50%,0.15%,1,0.15%,1,108.78
34,481001,工银核心价值混合A,GYHXJZHHA,2021-06-28,0.4837,5.6167,0.50,2.67,3.35,11.53,4.78,50.99,107.39,116.35,3.56,1275.12,2005-08-31,1,50.4474,1.50%,0.15%,1,0.15%,1,136.16
35,090004,大成精选增值混合,DCJXZZHH,2021-06-28,1.7817,4.2027,1.19,3.42,-0.39,3.77,3.19,24.05,70.73,90.11,-1.14,1249.28,2004-12-15,1,24.9965,1.50%,0.15%,1,0.15%,1,127.14
36,270002,广发稳健增长混合A,GFWJZZHHA,2021-06-28,1.7234,4.7834,0.18,1.40,-1.06,1.70,1.72,11.05,38.92,58.76,-0.05,1239.65,2004-07-26,1,10.5193,1.50%,0.15%,1,0.15%,1,87.01
37,110001,易方达平稳增长混合,YFDPWZZHH,2021-06-28,5.1270,6.4620,1.46,3.26,2.01,13.50,12.52,26.48,93.79,98.26,10.08,1228.87,2002-08-23,1,26.5408,1.50%,0.15%,1,0.15%,1,108.44
38,519001,银华价值优选混合,YHJZYXHH,2021-06-28,3.4538,11.3847,0.59,1.83,-0.39,10.34,2.83,26.06,77.20,81.69,-0.07,1227.05,2005-09-27,1,26.3971,1.50%,0.15%,1,0.15%,1,64.48
39,161706,招商优质成长混合(LOF),ZSYZCZHHLOF,2021-06-28,3.4820,5.5774,0.50,1.88,-0.45,1.30,2.32,45.51,129.17,174.53,-0.51,1195.83,2005-11-17,1,43.2627,1.50%,0.15%,1,0.15%,1,165.32
40,080001,长盛成长价值混合,CSCZJZHH,2021-06-28,1.7020,4.38,0.59,4.35,3.53,10.52,8.89,25.66,65.79,74.69,6.98,1173.44,2002-09-18,1,26.2087,1.50%,0.15%,1,0.15%,1,77.90
41,460001,华泰柏瑞盛世中国混合,HTBRSSZGHH,2021-06-28,0.7330,4.3778,1.59,3.97,8.11,35.62,19.18,62.07,144.75,146.27,17.19,1170.97,2005-04-27,1,60.2550,1.50%,0.15%,1,0.15%,1,185.14
42,450002,国富弹性市值混合,GFTXSZHH,2021-06-28,1.5838,4.3285,-0.76,1.66,-3.80,-2.66,6.70,39.40,65.99,99.98,3.60,1168.75,2006-06-14,1,39.5775,1.50%,0.15%,1,0.15%,1,145.35
