,no,name,jiancheng,date,单位净值,累计净值,今日,本周,月增幅,近3月,近6月,近1年,近2年,近3年,今年来,成立来,日期,f1,owndefine,fee1,fee2,f2,fee3,canbuy,f3
0,011464,南华瑞利纯债A,NHRLCZA,2021-06-28,1.3157,1.3157,-0.03,-0.04,31.53,,,,,,,31.57,2021-05-20,1,31.57,0.60%,0.06%,1,0.06%,1,
1,011465,南华瑞利纯债C,NHRLCZC,2021-06-28,1.2920,1.2920,-0.02,-0.03,29.16,,,,,,,29.20,2021-05-20,1,29.2,,0.00%,,,,
2,000689,前海开源新经济混合,QHKYXJJHH,2021-06-28,2.3590,2.4690,1.51,5.03,24.03,55.30,37.95,95.12,143.20,168.37,39.75,159.26,2014-08-20,1,96.7473,1.50%,0.15%,1,0.15%,1,125.05
3,005669,前海开源公用事业股票,QHKYGYSYGP,2021-06-28,2.3140,2.3140,1.60,5.31,23.82,57.63,38.77,129.93,126.40,136.22,39.28,131.40,2018-03-23,1,131.6780,1.50%,0.15%,1,0.15%,1,
4,005856,中科沃土沃瑞混合C,ZKWTWRHHC,2021-06-28,2.9061,2.9061,1.11,1.67,21.84,46.84,35.58,76.51,179.16,,31.37,190.61,2019-01-14,1,78.1900,,0.00%,,,,
5,005855,中科沃土沃瑞混合A,ZKWTWRHHA,2021-06-28,2.9367,2.9367,1.11,1.67,21.69,46.86,35.81,77.74,181.08,,31.59,193.67,2019-01-14,1,79.4172,1.50%,0.15%,1,0.15%,1,
6,007872,金信稳健策略灵活配置混合,JXWJCLLHPZHH,2021-06-28,2.0054,2.0054,3.10,4.93,21.04,52.27,42.96,72.82,,,38.84,100.54,2019-12-13,1,74.5648,1.50%,0.15%,1,0.15%,1,
7,007300,国联安中证半导体ETF联接A,GLAZZBDTETFLJA,2021-06-28,2.4882,2.4882,2.08,6.19,20.55,41.70,26.17,23.50,148.80,,21.42,148.80,2019-06-26,1,26.0742,0.80%,0.08%,1,0.08%,1,
8,007301,国联安中证半导体ETF联接C,GLAZZBDTETFLJC,2021-06-28,2.4698,2.4698,2.08,6.18,20.53,41.61,26.01,23.19,146.96,,21.28,146.96,2019-06-26,1,25.7599,,0.00%,,,,
9,004666,长城久嘉创新成长混合,CCJJCXCZHH,2021-06-28,1.7302,1.7302,1.51,3.31,20.42,38.26,26.58,22.62,94.82,79.15,21.03,73.02,2017-07-05,1,24.9603,1.50%,0.15%,1,0.15%,1,
10,167001,平安鼎泰混合(LOF),PADTHHLOF,2021-06-28,1.7004,1.7004,2.12,6,20.38,42.08,26.96,66.17,142.36,154.70,26.43,70.04,2016-07-21,1,67.5766,1.50%,0.15%,1,0.15%,1,
11,002256,金信行业优选混合发起式,JXHYYXHHFQS,2021-06-28,2.3330,2.3330,3.09,4.85,20.13,45.09,31.21,72.30,168.16,180.75,27.98,133.30,2016-04-01,1,71.9234,1.50%,0.15%,1,0.15%,1,124.98
12,001822,华商智能生活灵活配置混合,HSZNSHLHPZHH,2021-06-28,2.1630,2.1630,2.46,7.08,20.10,36.90,21.52,39.28,174.49,160.29,17.81,116.30,2015-11-13,1,40.6372,1.50%,0.15%,1,0.15%,1,136.65
13,000603,易方达创新驱动灵活配置混合,YFDCXQDLHPZHH,2021-06-28,1.9350,1.9350,2.33,8.28,20.04,31.63,17.56,72.92,126.58,124.22,15.52,93.50,2015-02-13,1,72.1530,1.50%,0.15%,1,0.15%,1,86.06
14,004390,平安转型创新混合A,PAZXCXHHA,2021-06-28,2.6654,2.7554,2.19,4.97,19.81,40,26.86,67.06,150.98,182.29,24.60,190.20,2017-04-14,1,67.6458,1.50%,0.15%,1,0.15%,1,
15,004391,平安转型创新混合C,PAZXCXHHC,2021-06-28,2.6013,2.6863,2.19,4.95,19.74,39.72,26.36,65.72,146.92,177.65,24.12,181.99,2017-04-14,1,66.3235,,0.00%,,,,
16,004616,中欧电子信息产业沪港深股票A,ZODZXXCYHGSGPA,2021-06-28,2.7312,2.7312,1.58,2,19.68,29.55,27.36,46.73,129.76,198.56,22.06,173.12,2017-07-07,1,47.7442,1.50%,0.15%,1,0.15%,1,
17,008887,华夏国证半导体芯片ETF联接A,HXGZBDTXPETFLJA,2021-06-28,1.3594,1.3594,1.63,5.62,19.67,35.14,27.58,27.60,,,23.94,35.94,2020-06-02,1,29.9742,1.20%,0.12%,1,0.12%,1,
