,no,name,jiancheng,date,单位净值,累计净值,今日,本周,月增幅,近3月,近6月,近1年,近2年,近3年,今年来,成立来,日期,f1,owndefine,fee1,fee2,f2,fee3,canbuy,f3
4,007555,中航瑞明纯债A,ZHRMCZA,2021-06-28,1.6303,1.6303,0,0.04,0.08,59.12,60.21,62.72,,,59.90,63.01,2020-04-10,1,62.6396,0.60%,0.06%,1,0.06%,1,
5,005296,南华丰淳混合A,NHFCHHA,2021-06-28,2.5052,2.5052,1.20,4.20,6.68,26.84,63.14,92.25,174.72,180.66,57.40,150.52,2017-12-26,1,92.0282,1.20%,0.12%,1,0.12%,1,
6,005297,南华丰淳混合C,NHFCHHC,2021-06-28,2.4218,2.4218,1.20,4.19,6.64,26.71,62.86,91.60,171.72,175.08,57.15,142.18,2017-12-26,1,91.3861,,0.00%,,,,
7,001487,宝盈优势产业混合,BYYSCYHH,2021-06-28,2.94,3.09,1.94,5.26,11.49,25.37,54.25,75.42,129.87,187.39,51.70,235.02,2015-08-25,1,73.2469,1.50%,0.15%,1,0.15%,1,207.21
8,002943,广发多因子混合,GFDYZHH,2021-06-28,2.9949,3.2352,-0.97,2.24,2.12,21.82,46.92,101.93,178.37,204.65,47.80,239.13,2016-12-30,1,101.3384,1.50%,0.15%,1,0.15%,1,
9,001298,金鹰民族新兴混合,JYMZXXHH,2021-06-28,3.3810,3.3810,1.71,5.56,16.51,48.75,45.98,108.32,214.22,269.10,47.77,238.10,2015-06-02,1,107.1691,1.50%,0.15%,1,0.15%,1,239.12
10,007556,中航瑞明纯债C,ZHRMCZC,2021-06-28,1.4999,1.4999,0,0.04,0.07,47.42,47.44,49.74,,,47.15,49.98,2020-04-10,1,49.6607,,0.00%,,,,
13,008099,广发价值领先混合A,GFJZLXHHA,2021-06-28,1.7202,1.7202,-2.07,0.17,-3.11,10.52,42.24,70.27,,,41.71,72.02,2020-05-07,1,70.5363,1.50%,0.15%,1,0.15%,1,
14,001951,金鹰改革红利混合,JYGGHLHH,2021-06-28,3.1030,3.1030,1.07,6.49,12.43,38.46,42.21,125.67,207.23,223.57,41.05,210.30,2015-12-02,1,127.8267,1.50%,0.15%,1,0.15%,1,189.46
15,005412,金信民长混合A,JXMCHHA,2021-06-28,1.9944,1.9944,2.73,3.32,12.13,47.36,43.64,49.97,,,40.82,99.44,2020-05-21,1,51.2628,0.80%,0.08%,1,0.08%,1,
